dia_Id,Dia;hora_Id,Hora,dia_Id;Dir.Med._a_1100cm,Humedad._a_620cm,Irradia.._a_200cm,Presion._a_150cm,Sig.Dir._a_1100cm,Sig.Vel._a_1100cm,Tem.Aire._a_620cm,Vel.Max._a_1100cm,Vel.Med._a_1100cm,hora_Id
"0,""2016-8-01""";"147,""00:30"",1";"335.3,""87.2"",""0.06"",""959.01"",""16.43"",""0.33"",""15.78"",""1.27"",""0.41"",147"
"0,""2016-8-01""";"148,""00:40"",1";"16.44,""87.4"",""0.04"",""958.89"",""23.24"",""0.19"",""15.76"",""0.69"",""0.17"",148"
"0,""2016-8-01""";"149,""00:50"",1";"324.3,""87.5"",""0.03"",""958.86"",""29.2"",""0.12"",""15.76"",""0.59"",""0.06"",149"
"0,""2016-8-01""";"150,""01:00"",1";"87.9,""87.6"",""0.03"",""958.85"",""27.16"",""0.12"",""15.65"",""0.39"",""0.1"",150"
"0,""2016-8-01""";"151,""01:10"",1";"148.9,""87.8"",""0.02"",""958.82"",""18.33"",""0.37"",""15.62"",""1.37"",""0.44"",151"
"0,""2016-8-01""";"152,""01:20"",1";"181.9,""87.7"",""0.02"",""958.82"",""9.71"",""0.21"",""15.55"",""0.88"",""0.18"",152"
"0,""2016-8-01""";"153,""01:30"",1";"215.4,""87.7"",""0.03"",""958.8"",""10.24"",""0.3"",""15.38"",""1.08"",""0.49"",153"
"0,""2016-8-01""";"154,""01:40"",1";"214.7,""87.5"",""0.04"",""958.62"",""38.5"",""0.2"",""15.29"",""0.69"",""0.21"",154"
"0,""2016-8-01""";"155,""01:50"",1";"131.9,""87.6"",""0.02"",""958.55"",""4.04"",""0.07"",""15.2"",""0.39"",""0.02"",155"
"0,""2016-8-01""";"156,""02:00"",1";"104.6,""87.9"",""0.02"",""958.48"",""5.54"",""0.03"",""15.1"",""0.29"",""0.01"",156"
"0,""2016-8-01""";"157,""02:10"",1";"21.94,""88.1"",""0.03"",""958.66"",""30.61"",""0.37"",""15.18"",""1.67"",""0.45"",157"
"0,""2016-8-01""";"158,""02:20"",1";"34.71,""88.5"",""0.03"",""958.63"",""18.79"",""0.32"",""14.92"",""2.25"",""1.48"",158"
"0,""2016-8-01""";"159,""02:30"",1";"49.98,""89.7"",""0.01"",""958.5"",""10.83"",""0.27"",""14.69"",""1.18"",""0.66"",159"
"0,""2016-8-01""";"160,""02:40"",1";"69.94,""90.1"",""0.03"",""958.52"",""17.81"",""0.23"",""14.64"",""1.37"",""0.59"",160"
"0,""2016-8-01""";"161,""02:50"",1";"80.5,""90.4"",""0.04"",""958.53"",""17.03"",""0.26"",""14.56"",""1.67"",""0.89"",161"
"0,""2016-8-01""";"162,""03:00"",1";"97.0,""90.9"",""0.04"",""958.42"",""9.27"",""0.24"",""14.34"",""1.86"",""1.29"",162"
"0,""2016-8-01""";"163,""03:10"",1";"64.73,""91.4"",""0.05"",""958.3"",""9.42"",""0.24"",""14.31"",""1.86"",""1.21"",163"
"0,""2016-8-01""";"164,""03:20"",1";"62.29,""91.3"",""0.04"",""958.31"",""20.54"",""0.32"",""14.43"",""1.76"",""0.91"",164"
"0,""2016-8-01""";"165,""03:30"",1";"95.0,""90.9"",""0.02"",""958.32"",""23.95"",""0.35"",""14.4"",""1.76"",""1.04"",165"
"0,""2016-8-01""";"166,""03:40"",1";"95.9,""90.9"",""0.05"",""958.31"",""14.85"",""0.45"",""14.24"",""2.35"",""1.39"",166"
