Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);CO 8h - Air Quality;Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NO2 - Air Quality;NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM10 - Air Quality;PM2,5 (µg/m3);PM2,5 - Air Quality;Tolueno (µg/m3);ICA Estación
21/01/2016;1,85;;0,61;Muy buena / Oso ona;0,05;46;80;Buena / Ona;116;2,79;32;Buena / Ona;13;Muy buena / Oso ona;6,21;Buena / Ona
20/01/2016;1,17;;0,52;Muy buena / Oso ona;0,04;35;94;Buena / Ona;97;2,3;26;Buena / Ona;11;Muy buena / Oso ona;4,56;Buena / Ona
19/01/2016;0,62;;0,35;Muy buena / Oso ona;0,04;14;80;Buena / Ona;59;1,32;15;Muy buena / Oso ona;6;Muy buena / Oso ona;2,25;Buena / Ona
18/01/2016;0,38;;0,19;Muy buena / Oso ona;0,04;2;37;Muy buena / Oso ona;22;0,89;8;Muy buena / Oso ona;;Sin datos / Daturik gabe;0,65;Muy buena / Oso ona
17/01/2016;0,65;;0,3;Muy buena / Oso ona;0,05;10;50;Muy buena / Oso ona;45;1,62;12;Muy buena / Oso ona;6;Muy buena / Oso ona;1,95;Muy buena / Oso ona
16/01/2016;0,47;;0,24;Muy buena / Oso ona;0,04;4;61;Buena / Ona;32;1,52;10;Muy buena / Oso ona;2;Muy buena / Oso ona;0,72;Buena / Ona
15/01/2016;0,38;;0,19;Muy buena / Oso ona;0,04;4;37;Muy buena / Oso ona;29;0,62;8;Muy buena / Oso ona;2;Muy buena / Oso ona;0,57;Muy buena / Oso ona
14/01/2016;0,35;;0,19;Muy buena / Oso ona;0,04;;52;Buena / Ona;21;0,38;6;Muy buena / Oso ona;3;Muy buena / Oso ona;0,47;Buena / Ona
13/01/2016;1,01;;0,6;Muy buena / Oso ona;0,04;59;73;Buena / Ona;126;2,35;20;Muy buena / Oso ona;12;Muy buena / Oso ona;3,78;Buena / Ona
12/01/2016;0,44;;0,26;Muy buena / Oso ona;0,05;6;61;Buena / Ona;33;;7;Muy buena / Oso ona;3;Muy buena / Oso ona;0,86;Buena / Ona
11/01/2016;0,22;;0,16;Muy buena / Oso ona;0,09;3;13;Muy buena / Oso ona;12;;4;Muy buena / Oso ona;2;Muy buena / Oso ona;0,28;Muy buena / Oso ona
10/01/2016;0,13;;0,18;Muy buena / Oso ona;0,09;2;9;Muy buena / Oso ona;9;;4;Muy buena / Oso ona;2;Muy buena / Oso ona;;Muy buena / Oso ona
09/01/2016;0,17;;0,18;Muy buena / Oso ona;0,06;2;9;Muy buena / Oso ona;10;;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,25;Muy buena / Oso ona
08/01/2016;0,15;;0,17;Muy buena / Oso ona;0,1;2;19;Muy buena / Oso ona;13;;4;Muy buena / Oso ona;1;Muy buena / Oso ona;;Muy buena / Oso ona
07/01/2016;0,14;;0,18;Muy buena / Oso ona;0,08;3;13;Muy buena / Oso ona;12;;3;Muy buena / Oso ona;2;Muy buena / Oso ona;0,31;Muy buena / Oso ona
06/01/2016;0,26;;0,22;Muy buena / Oso ona;0,05;2;10;Muy buena / Oso ona;10;;4;Muy buena / Oso ona;2;Muy buena / Oso ona;0,28;Muy buena / Oso ona
05/01/2016;0,29;;0,2;Muy buena / Oso ona;0,1;4;46;Muy buena / Oso ona;25;0,72;5;Muy buena / Oso ona;3;Muy buena / Oso ona;0,72;Muy buena / Oso ona
04/01/2016;0,28;;0,23;Muy buena / Oso ona;0,11;3;39;Muy buena / Oso ona;24;0,2;4;Muy buena / Oso ona;2;Muy buena / Oso ona;0,46;Muy buena / Oso ona
03/01/2016;0,24;;0,25;Muy buena / Oso ona;0,08;2;34;Muy buena / Oso ona;14;;6;Muy buena / Oso ona;2;Muy buena / Oso ona;;Muy buena / Oso ona
02/01/2016;0,33;;0,24;Muy buena / Oso ona;0,11;6;75;Buena / Ona;27;0,33;8;Muy buena / Oso ona;4;Muy buena / Oso ona;;Buena / Ona
01/01/2016;0,65;;0,54;Muy buena / Oso ona;0,12;16;46;Muy buena / Oso ona;49;1,05;15;Muy buena / Oso ona;10;Muy buena / Oso ona;1,75;Muy buena / Oso ona
